TimeStamp,ac,accepts,handled,requests,reading,writing,waiting
2025-03-06 15:19:11,2,1087,1087,1294,0,1,1
2025-03-06 15:19:54,2,1092,1092,1299,0,1,1
2025-03-06 15:20:04,4,1096,1096,1304,0,1,3
2025-03-06 15:20:13,4,1098,1098,1306,0,1,3
2025-03-06 15:20:23,4,1100,1100,1308,0,1,3
2025-03-06 15:20:33,4,1102,1102,1310,0,1,3
2025-03-06 15:20:42,4,1104,1104,1312,0,1,3
2025-03-06 15:20:52,4,1106,1106,1314,0,1,3
2025-03-06 15:21:02,3,1108,1108,1316,0,1,2
2025-03-06 15:21:12,2,1110,1110,1318,0,1,1
2025-03-06 15:21:22,2,1112,1112,1320,0,1,1
2025-03-06 15:21:32,2,1114,1114,1322,0,1,1
